site_no,RBI,RBIrank,STANAME,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,CLASS,AGGECOREGION,PPTAVG_BASIN,PPTAVG_SITE,T_AVG_BASIN,T_AVG_SITE,T_MAX_BASIN,T_MAXSTD_BASIN,T_MAX_SITE,T_MIN_BASIN,T_MINSTD_BASIN,T_MIN_SITE,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,FLOWYRS_1990_2009,wy00_09
1117468,0.171986501,244,"BEAVER RIVER NEAR USQUEPAUG, RI",25.3,1,41.4926,-71.628119,RI,Ref,NorthEast,127.66,128.82,9.73,9.8,14.86,0.118,15,4.46,0.289,4.7,647.5,25.7,0.044,20,10
1118300,0.353496355,627,"PENDLETON HILL BROOK NEAR CLARKS FALLS, CT.",10.4,1,41.474821,-71.834237,CT,Ref,NorthEast,127.11,126.79,9.79,9.8,14.99,0.106,15.1,4.53,0.167,4.8,652.1,24.3,0.036,20,10
1121000,0.404337693,710,"MOUNT HOPE RIVER NEAR WARRENVILLE, CT.",70.3,1,41.843709,-72.168966,CT,Ref,NorthEast,128.44,129.8,8.52,8.8,14.21,0.373,15,2.65,0.234,2.7,619.1,26.8,0.021,20,10
1123000,0.349006559,619,"LITTLE RIVER NEAR HANOVER, CT.",77.9,1,41.671765,-72.052298,CT,Ref,NorthEast,129.66,128.44,8.82,9.3,14.68,0.318,15.2,2.88,0.198,3.3,629.3,26.6,0.026,20,10
1134500,0.355057417,628,"MOOSE RIVER AT VICTORY, VT",195.1,1,44.511723,-71.837314,VT,Ref,NorthEast,119.33,108.27,4.52,4.6,10.41,0.632,11.1,-2.1,0.545,-1.5,519.5,34.9,0.105,20,10
1135150,0.319956267,543,"POPE BROOK (SITE W-3) NEAR NORTH DANVILLE, VT",10.1,1,44.476167,-72.124543,VT,Ref,NorthEast,116.72,102.65,3.8,4.1,10.07,0.184,10.1,-2.21,0.596,-1.2,495.3,35.7,0.117,18,10
1135300,0.364916289,641,"SLEEPERS RIVER (SITE W-5) NEAR ST. JOHNSBURY, VT",111.1,1,44.435335,-72.038429,VT,Ref,NorthEast,107.24,99.23,4.48,5.9,10.55,0.53,12.3,-1.46,0.664,-0.2,516,34.2,0.113,19,10
1137500,0.359560099,634,"AMMONOOSUC RIVER AT BETHLEHEM JUNCTION, NH",228.6,1,44.268674,-71.630362,NH,Ref,NorthEast,139.2,103.41,4.08,5.6,9.26,1.769,11.7,-1.97,0.836,-1.3,493.6,43.3,0.063,20,10
1139000,0.263158705,411,"WELLS RIVER AT WELLS RIVER, VT",246.3,1,44.150341,-72.065092,VT,Ref,NorthEast,109.6,95.83,4.99,5.7,11.05,0.58,12.4,-1.33,0.567,-0.3,529.4,33,0.113,20,10
1139800,0.230845285,342,"EAST ORANGE BRANCH AT EAST ORANGE, VT",22.8,1,44.092842,-72.335653,VT,Ref,NorthEast,116.16,110.84,4.8,4.9,10.27,0.334,11.1,-1.81,0.227,-1.4,518.9,34,0.09,20,10
1142500,0.246432541,375,"AYERS BROOK AT RANDOLPH, VT",82.2,1,43.93451,-72.657882,VT,Ref,NorthEast,108.16,106.17,5.5,5.9,11.21,0.697,12.7,-0.84,0.398,-0.2,542.4,33.7,0.072,20,10
1144000,0.269417551,426,"WHITE RIVER AT WEST HARTFORD, VT",1790.2,1,43.714236,-72.418149,VT,Ref,NorthEast,118.41,98.8,5.54,6.3,11.02,1.049,13.2,-1.02,0.654,0.1,542.4,35.3,0.071,20,10
1150900,0.344359671,611,"OTTAUQUECHEE RIVER NEAR WEST BRIDGEWATER, VT",61.2,1,43.622291,-72.75899,VT,Ref,NorthEast,142.41,135.16,5.15,5.1,10.02,0.845,11.5,-1.99,0.759,-1.5,519.6,38.3,0.053,20,10
1162500,0.213309186,311,"PRIEST BROOK NEAR WINCHENDON, MA",49.7,1,42.682586,-72.115081,MA,Ref,NorthEast,120.88,118.38,6.68,7,13.34,0.179,13.7,0.76,0.367,0.4,567.4,31,0.027,20,10
1169000,0.395297353,688,"NORTH RIVER AT SHATTUCKVILLE, MA",230.6,1,42.638418,-72.725092,MA,Ref,NorthEast,131.41,125.03,6.6,7.3,12.28,0.548,13.5,0.79,0.326,1.3,564.4,34.3,0.022,20,10
1170100,0.332531645,585,"GREEN RIVER NEAR COLRAIN, MA",107,1,42.703417,-72.670648,MA,Ref,NorthEast,130.78,127.23,6.56,7.4,12.34,0.594,13.6,0.64,0.231,1.2,563.3,34.3,0.018,20,10
1174565,0.318827587,541,"WEST BRANCH SWIFT RIVER NEAR SHUTESBURY, MA",33,1,42.455089,-72.381752,MA,Ref,NorthEast,128.97,129.37,7.18,7.4,13.46,0.271,14.1,1.52,0.115,1.6,580.2,30.7,0.034,14,10
1181000,0.419962856,732,"WEST BRANCH WESTFIELD RIVER AT HUNTINGTON, MA",243.5,1,42.237312,-72.895654,MA,Ref,NorthEast,143.51,128.73,7.33,7.5,12.76,0.853,14.4,1.19,0.203,1.3,596.7,31.8,0.038,20,10
1187300,0.487019844,800,"HUBBARD RIVER NR. WEST HARTLAND, CT.",53.9,1,42.037316,-72.938991,MA,Ref,NorthEast,134.81,130.77,7.14,7.6,12.81,0.36,13.5,0.97,0.143,0.9,581.9,31.9,0.014,20,10
1195100,0.430283566,744,"INDIAN RIVER NEAR CLINTON, CT.",14.8,1,41.305933,-72.531201,CT,Ref,NorthEast,127.65,126.68,9.95,9.9,15.43,0.157,15.7,4.28,0.21,4.6,657.6,23.8,0.015,20,10
1208990,0.294701922,483,"SAUGATUCK RIVER NEAR REDDING, CT.",53.8,1,41.29454,-73.39512,CT,Ref,NorthEast,133.4,133.29,9.78,9.9,15.68,0.176,15.9,4.99,0.238,5.1,665.2,23,0.028,20,10
1305500,0.046391691,18,SWAN RIVER AT EAST PATCHOGUE NY,21.3,2,40.767043,-72.993719,NY,Non-ref,SECstPlain,124.99,125.48,10.9,10.9,15.86,0.051,16,6.32,0.094,6.1,697.2,19.8,0.02,20,10
1306460,0.058726219,37,CONNETQUOT BK NR CENTRAL ISLIP NY,55.7,2,40.772043,-73.158724,NY,Non-ref,SECstPlain,122.43,122.8,10.97,10.9,15.76,0.027,15.8,6.48,0.083,6.4,704.1,19.8,0.015,20,10
1311500,0.856010553,1017,VALLEY STREAM AT VALLEY STREAM NY,18.1,2,40.663714,-73.704576,NY,Non-ref,SECstPlain,124.13,123.86,11.78,11.8,16.46,0.028,16.4,7.22,0.166,7.4,737.5,16,0.022,20,10
1333000,0.282133521,452,"GREEN RIVER AT WILLIAMSTOWN, MA",112.2,2,42.708969,-73.196773,MA,Ref,NorthEast,122.72,106.08,6.48,7.2,12.25,0.759,13.7,1.19,0.45,1.6,554.6,31.1,0.087,20,10
1349711,0.339057136,598,WEST KILL BELOW HUNTER BROOK NEAR SPRUCETON NY,12.7,2,42.185088,-74.276812,NY,Ref,NorthEast,147.1,132.11,4.84,4.9,10.26,0.725,10.9,-0.74,0.425,-0.2,492.6,35.8,0.036,12,10
1349810,0.338669208,595,WEST KILL NEAR WEST KILL NY,73.7,2,42.230365,-74.392926,NY,Ref,NorthEast,127.31,109.35,5.25,5.8,11.18,1.069,12.9,-0.1,0.688,1,508.2,33.9,0.048,12,10
1350000,0.414115108,721,SCHOHARIE CREEK AT PRATTSVILLE NY,612.5,2,42.319528,-74.436537,NY,Ref,NorthEast,119.04,101.06,5.66,6,11.95,0.91,13.5,-0.16,0.59,1.3,523.1,33.4,0.049,20,10
1350080,0.337699406,594,MANOR KILL AT WEST CONESVILLE NEAR GILBOA NY,83.8,2,42.377026,-74.412924,NY,Ref,NorthEast,101.86,100.63,6.03,6.3,12.25,0.55,13.1,0.04,0.494,1.1,539.8,30.8,0.085,20,10
1350140,0.463937639,781,MINE KILL NEAR NORTH BLENHEIM NY,43.8,2,42.428968,-74.472925,NY,Ref,NorthEast,105.25,96.2,6.12,6.8,12.18,0.45,13.7,0.77,0.464,1.4,546.3,27.5,0.093,20,10
1362200,0.276208781,441,ESOPUS CREEK AT ALLABEN NY,169.2,2,42.117034,-74.380149,NY,Ref,NorthEast,130.61,122.98,5.53,6,11.32,1.225,13.7,0.47,0.802,1.5,515.3,34.2,0.032,20,10
1362370,0.386119023,677,STONY CLOVE CREEK BLW OX CLOVE AT CHICHESTER NY,80.2,2,42.102028,-74.310889,NY,Ref,NorthEast,148.58,146.48,5.44,6.2,11.54,1.194,12.6,0.41,0.984,2.2,513.1,32.9,0.023,12,10
1362497,0.447038385,761,LITTLE BEAVER KILL @ BEECHFORD NR MT TREMPER NY,43.2,2,42.019536,-74.266258,NY,Ref,NorthEast,135.16,132.05,7.36,7.2,13.54,0.661,14.1,2.1,0.387,1.8,582.1,28.2,0.034,12,10
1364959,0.359001372,632,RONDOUT CR ABOVE RED BROOK AT PEEKAMOOSE NY,14,2,41.937037,-74.374596,NY,Ref,NorthEast,147.24,138.97,5.19,5.1,10.4,1.078,11.9,0.04,0.832,1.1,497.4,32.9,0.023,13,10
1365000,0.31466039,532,RONDOUT CREEK NEAR LOWES CORNERS NY,99.6,2,41.866482,-74.4871,NY,Ref,NorthEast,137.98,124.42,5.87,6.8,11.64,1.182,14,0.94,0.896,1.9,529.1,30.2,0.043,20,10
1396660,0.543218225,840,MULHOCKAWAY CREEK AT VAN SYCKEL NJ,30.4,2,40.6475,-74.968889,NJ,Non-ref,SEPlains,127.58,126.67,9.94,10.1,16.46,0.239,16.9,4.41,0.079,4.5,667,21,0.058,20,10
1398000,0.764224961,976,NESHANIC RIVER AT REAVILLE NJ,66,2,40.473333,-74.827778,NJ,Non-ref,SEPlains,124.4,123.24,10.82,10.8,17.21,0.238,17.5,4.79,0.217,5,705.3,17.9,0.066,20,10
1399500,0.175663374,250,LAMINGTON (BLACK) RIVER NEAR POTTERSVILLE NJ,83.5,2,40.7275,-74.730278,NJ,Non-ref,NorthEast,134.61,133.99,9.35,10.1,15.46,0.214,16.2,3.09,0.348,3.9,640.4,22.2,0.062,20,10
1401650,0.96293521,1063,PIKE RUN AT BELLE MEAD NJ,13.3,2,40.468056,-74.648889,NJ,Non-ref,SEPlains,123.14,122.95,10.87,11,17.22,0.133,17.2,4.88,0.204,5,705.5,17,0.066,20,10
1403150,0.941978867,1050,WEST BRANCH MIDDLE BROOK NEAR MARTINSVILLE NJ,5,2,40.612222,-74.590833,NJ,Non-ref,SEPlains,124.11,124.02,10.31,10.3,16.63,0.112,16.8,4.29,0.116,4.5,687.3,18.6,0.061,20,10
1411300,0.14163379,200,TUCKAHOE RIVER AT HEAD OF RIVER NJ,79.3,2,39.306944,-74.820556,NJ,Ref,SECstPlain,112.5,112.55,12.33,12.4,18.22,0.169,18.4,6.63,0.074,6.5,751.7,13.3,0.02,20,10
1411456,0.213894189,312,Little Ease Run near Clayton NJ,24.2,2,39.658889,-75.0675,NJ,Non-ref,SECstPlain,116.89,116.63,12.21,12.2,17.81,0.035,17.9,7.5,0.031,7.5,760.4,14,0.045,20,10
1413408,0.285557142,458,DRY BROOK AT ARKVILLE,212.8,2,42.146755,-74.62321,NY,Ref,NorthEast,121.19,104.09,5.74,6.4,11.29,1.12,13,-0.13,0.563,0.8,522.8,33,0.061,12,10
1413500,0.269641966,427,EAST BR DELAWARE R AT MARGARETVILLE NY,424.1,2,42.14481,-74.653489,NY,Ref,NorthEast,114.75,102.86,5.91,6.6,11.67,1.064,13.2,0,0.538,0.9,529.6,31.2,0.077,20,10
1414000,0.294379564,482,PLATTE KILL AT DUNRAVEN NY,90.4,2,42.133143,-74.695434,NY,Ref,NorthEast,108.02,103.02,6.38,6.8,11.92,0.816,13,0.02,0.474,0.8,543.6,28.5,0.117,12,10
1414500,0.302350355,499,MILL BROOK NEAR DUNRAVEN NY,64.5,2,42.106199,-74.730435,NY,Ref,NorthEast,117.46,110,5.84,6.7,11.16,1.114,12.8,-0.1,0.592,0.8,527.5,33.8,0.087,20,10
1415000,0.320771122,546,TREMPER KILL NEAR ANDES NY,85.6,2,42.120087,-74.818493,NY,Ref,NorthEast,112.86,112.62,6.51,6.9,12.26,0.591,13.2,-0.02,0.483,0.9,549.6,28.4,0.095,20,10
1421618,0.40575267,712,TOWN BROOK SOUTHEAST OF HOBART NY,37.3,2,42.361193,-74.662098,NY,Ref,NorthEast,109.01,104.34,5.93,6.3,11.67,0.71,13,-0.09,0.411,0.5,531.4,29.5,0.086,12,10
1422500,0.318225669,538,LITTLE DELAWARE RIVER NEAR DELHI NY,128.9,2,42.252308,-74.90155,NY,Ref,NorthEast,111.66,112.1,6.47,6.8,12.16,0.518,12.7,-0.27,0.34,0.1,547.9,29,0.094,12,10
1422747,0.321316254,547,EAST BROOK EAST OF WALTON NY,63.9,2,42.172863,-75.121279,NY,Ref,NorthEast,117.59,118.88,6.84,7.2,12.65,0.381,13.8,0.47,0.205,1.1,562,29.2,0.074,11,10
1423000,0.28729588,467,WEST BRANCH DELAWARE RIVER AT WALTON NY,859.7,2,42.166196,-75.139891,NY,Ref,NorthEast,112.01,118.87,6.64,7.2,12.43,0.555,13.7,0.16,0.456,1,554.8,28.7,0.086,20,10
142400103,0.347660075,616,TROUT CREEK NEAR TROUT CREEK NY,52.8,2,42.173695,-75.27934,NY,Ref,NorthEast,114.89,114.25,7.12,7.2,12.59,0.464,13.3,1.69,0.681,1,571.1,28.6,0.083,12,10
143400680,0.467358153,784,E BR NEVERSINK R NORTHEAST OF DENNING NY,23.4,2,41.967037,-74.447931,NY,Ref,NorthEast,164.63,148.8,4.83,5.1,9.56,0.68,11.4,-0.65,0.47,0,489.2,35.3,0.016,19,10
1434017,0.414604556,724,EAST BR NEVERSINK RIVER NR CLARYVILLE NY,59.5,2,41.92537,-74.540156,NY,Ref,NorthEast,153.66,139.84,5.16,5.6,10.35,0.965,12.1,-0.23,0.548,1.2,501.3,33.2,0.028,18,10
1434021,0.607314802,891,W BR NEVERSINK R AT WINNISOOK L NR FROST VALLEY NY,2.2,2,42.011203,-74.414318,NY,Ref,NorthEast,174.82,161.82,4.73,4.7,8.85,0.319,9.5,-1.17,0.245,-0.7,483.5,36.3,0.005,18,10
1434025,0.444865077,759,BISCUIT BK ABOVE PIGEON BK AT FROST VALLEY NY,9.7,2,41.99537,-74.500987,NY,Ref,NorthEast,160.13,151.89,4.7,4.6,9.68,0.727,10.9,-0.76,0.378,-0.6,486.6,36.6,0.023,20,10
1435000,0.38661548,680,NEVERSINK RIVER NEAR CLARYVILLE NY,172.5,2,41.890092,-74.589879,NY,Ref,NorthEast,152.02,133.66,5.16,6.9,10.56,1.049,12.7,-0.17,0.704,1.4,502.5,34.1,0.032,20,10
1439500,0.194675772,277,"Bush Kill at Shoemakers, PA",305.9,2,41.088151,-75.037675,PA,Ref,NorthEast,121.66,121.8,8.03,9.4,13.43,0.605,15.6,2.09,0.558,3.2,598.6,26.6,0.052,20,10
1440000,0.29797734,490,FLAT BROOK NEAR FLATBROOKVILLE NJ,167.7,2,41.106667,-74.952222,NJ,Ref,NorthEast,120.09,120.77,8.92,9.1,14.82,0.631,15.9,3.41,0.183,3.5,637,23.7,0.066,20,10
1440400,0.279993226,449,"Brodhead Creek near Analomink, PA",175.2,2,41.084815,-75.214625,PA,Ref,NorthEast,130.06,126.76,7.99,9.1,13.09,0.578,14.9,2.03,0.362,2.9,596,26.4,0.045,20,10
1451800,0.361472681,635,"Jordan Creek near Schnecksville, PA",135.8,2,40.661762,-75.626854,PA,Ref,EastHghlnds,124.32,123.27,10.19,10.4,16.1,0.261,16.1,3.77,0.223,3.9,681.4,21,0.054,20,10
1452000,0.368698101,647,"Jordan Creek at Allentown, PA",196.6,2,40.623153,-75.482405,PA,Non-ref,EastHghlnds,122.9,115.5,10.27,10.6,16.2,0.273,16.6,3.93,0.361,4.9,685.3,20.7,0.055,20,10
1466500,0.071873297,60,MCDONALDS BRANCH IN LEBANON STATE FOREST NJ,5.4,2,39.885,-74.505278,NJ,Ref,SECstPlain,118.43,118.54,11.8,11.8,18.34,0.077,18.4,5.81,0.022,5.8,737.8,15,0.033,20,10
1467081,0.784346872,986,SOUTH BRANCH PENNSAUKEN CREEK AT CHERRY HILL NJ,23.1,2,39.941667,-75.001111,NJ,Non-ref,SECstPlain,120.41,120.59,12.23,12.3,17.94,0.027,18,7.26,0.119,7.5,760,14.3,0.061,20,10
1467087,1.048283737,1081,"Frankford Creek at Castor Ave, Philadelphia, PA",77,2,40.015945,-75.096841,PA,Non-ref,SEPlains,121.49,120.32,11.95,12.2,17.5,0.249,18,7.1,0.355,7.8,751,12.8,0.06,20,10
1470779,0.201869277,292,"Tulpehocken Creek near Bernville, PA",179.2,2,40.413426,-76.171613,PA,Non-ref,EastHghlnds,116.41,116.35,10.44,10.4,16.44,0.235,16.5,5.16,0.13,5,690.5,18.4,0.062,20,10
1471875,0.407758688,714,"Manatawny Creek near Spangsville, PA",148.1,2,40.339538,-75.742136,PA,Ref,NorthEast,121.53,116.95,10.19,10.6,16.36,0.372,17.2,4.45,0.379,5.3,680.6,19.6,0.06,16,10
1472199,0.467311988,783,"West Branch Perkiomen Creek at Hillegass, PA",60.8,2,40.373988,-75.522403,PA,Non-ref,NorthEast,121.98,118.48,10.23,10.6,16.54,0.473,17.6,4.67,0.46,5.8,680.4,19.4,0.061,20,10
1478000,0.815712382,1001,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",54,2,39.637389,-75.727889,DE,Non-ref,SEPlains,117.12,115.89,12.11,12.4,17.99,0.28,18.3,6.41,0.252,6.8,752.7,14.3,0.055,20,10
1480300,0.622941132,902,"West Branch Brandywine Creek near Honey Brook, PA",47.7,2,40.072879,-75.860774,PA,Non-ref,SEPlains,116.84,117.27,10.36,10.5,16.08,0.152,16.1,5.4,0.226,5.3,680,19,0.062,20,10
1480675,0.474034765,788,"Marsh Creek near Glenmoore, PA",22.1,2,40.097879,-75.741599,PA,Non-ref,SEPlains,120.2,121.46,10.64,10.8,16.35,0.152,16.6,5.28,0.107,5.5,691.2,18.9,0.05,20,10
1484100,0.252295499,386,"BEAVERDAM BRANCH AT HOUSTON, DE",9,2,38.905778,-75.51275,DE,Ref,SECstPlain,115.68,115.88,13.2,13.2,18.87,0.032,18.9,7.32,0.028,7.4,787,11,0.036,20,10
1485500,0.305233641,503,"NASSAWANGO CREEK NEAR SNOW HILL, MD",141.5,2,38.228917,-75.471444,MD,Ref,SECstPlain,116.38,115.53,13.44,13.5,19.18,0.063,19.3,7.66,0.056,7.8,790.2,8.9,0.029,20,10
1486000,0.385266117,676,"MANOKIN BRANCH NEAR PRINCESS ANNE, MD",11.2,2,38.213889,-75.671389,MD,Ref,SECstPlain,112.63,112.42,13.53,13.6,19.33,0.009,19.3,7.68,0.037,7.8,794.5,9,0.034,20,10
1487000,0.144729785,205,"NANTICOKE RIVER NEAR BRIDGEVILLE, DE",187.4,2,38.728333,-75.561861,DE,Ref,SECstPlain,114.88,114.1,13.08,13,18.9,0.039,19,7.33,0.051,7.4,781.6,10.8,0.035,20,10
1491000,0.312910548,528,"CHOPTANK RIVER NEAR GREENSBORO, MD",292,2,38.997194,-75.785806,MD,Ref,SECstPlain,113.43,113.1,13.11,13.2,18.57,0.129,19,7.08,0.06,7.3,788.9,11.1,0.043,20,10
1495000,0.446730838,760,"BIG ELK CREEK AT ELK MILLS, MD",138.2,2,39.657056,-75.822361,MD,Non-ref,SEPlains,118.39,117.75,11.32,12.1,17.26,0.48,18.2,5.68,0.351,6.6,717.2,16.5,0.049,20,10
1510000,0.32672163,564,OTSELIC RIVER AT CINCINNATUS NY,383,2,42.541181,-75.899643,NY,Ref,NorthEast,107.74,109.37,6.8,7.5,12.41,0.464,13.7,1.62,0.325,1.8,569.1,28.9,0.086,20,10
1516500,0.511182351,817,"Corey Creek near Mainesburg, PA",31.5,2,41.790907,-77.014688,PA,Ref,NorthEast,93.82,90.58,7.59,7.7,13.06,0.646,13.8,2.11,0.088,2,584.9,26.4,0.133,20,10
1518862,0.425971544,737,"Cowanesque River at Westfield, PA",233.9,2,41.923126,-77.53193,PA,Ref,NorthEast,96.17,90.63,6.68,7.1,13.23,0.314,14,1.27,0.137,1.3,551.4,27.1,0.123,20,10
1532000,0.453143334,768,"Towanda Creek near Monroeton, PA",553.9,2,41.70702,-76.484665,PA,Ref,NorthEast,99.95,91.94,7.73,8.2,13.14,0.956,14.5,2.28,0.116,2.5,590.2,25.6,0.089,20,10
1539000,0.336862231,592,"Fishing Creek near Bloomsburg, PA",701.8,2,41.078141,-76.431056,PA,Ref,EastHghlnds,117.14,109.87,8.33,9.2,14.02,1.341,16,2.74,0.432,3.7,615.2,23.5,0.089,20,10
1542810,0.461054862,777,"Waldy Run near Emporium, PA",13.6,2,41.578952,-78.292512,PA,Ref,NorthEast,109.92,109.25,7.56,7.9,13.35,0.307,14.1,1.39,0.066,1.4,580.8,26,0.11,20,10
1543000,0.357215557,630,"Driftwood Br Sinnemahoning Cr at Sterling Run, PA",705.5,2,41.413396,-78.196952,PA,Ref,NorthEast,110.32,106.79,7.76,8.5,13.53,0.502,15.1,1.51,0.205,2.4,587.7,26.1,0.107,20,10
1543500,0.311930074,523,"Sinnemahoning Creek at Sinnemahoning, PA",1778.3,2,41.317285,-78.10306,PA,Ref,NorthEast,109.6,111.91,7.93,8.6,13.65,0.591,15.3,1.72,0.308,2.6,593.1,25.4,0.1,20,10
1544500,0.25072008,381,"Kettle Creek at Cross Fork, PA",355.1,2,41.475899,-77.825825,PA,Ref,NorthEast,106.34,104.7,7.23,8.1,13.29,0.479,14.8,1.48,0.144,2,570.7,26.4,0.101,20,10
1545600,0.212175077,308,"Young Womans Creek near Renovo, PA",120,2,41.389512,-77.690819,PA,Ref,NorthEast,105.66,103.32,7.39,8.7,13.36,0.445,14.5,1.69,0.231,2.3,575.6,26.2,0.102,20,10
1547700,0.357997143,631,"Marsh Creek at Blanchard, PA",113.5,2,41.059509,-77.605826,PA,Ref,EastHghlnds,104.85,99.51,9.05,9.7,14.57,0.778,16.1,2.78,0.473,3.5,635.4,21.9,0.098,20,10
1548500,0.259607717,402,"Pine Creek at Cedar Run, PA",1557,2,41.521736,-77.44748,PA,Ref,NorthEast,97.36,94.95,6.98,7.9,13.22,0.514,15.1,1.54,0.212,2,561.7,26.6,0.116,20,10
1549500,0.334845616,590,"Blockhouse Creek near English Center, PA",97.5,2,41.473683,-77.230809,PA,Ref,NorthEast,102.7,103.71,7.36,7.7,12.97,0.606,14.4,2.02,0.241,1.1,575.6,27,0.104,20,10
